Current value: 6.046567465742375, Current params: {'in_len': 192, 'p': 7, 'd': 8, 'q': 5}
Best value: 6.046567465742375, Best params: {'in_len': 192, 'p': 7, 'd': 8, 'q': 5}Current value: 9.130687725114663, Current params: {'in_len': 144, 'p': 8, 'd': 8, 'q': 6}
Best value: 6.046567465742375, Best params: {'in_len': 192, 'p': 7, 'd': 8, 'q': 5}Current value: inf, Current params: {'in_len': 96, 'p': 8, 'd': 6, 'q': 4}
Best value: 6.046567465742375, Best params: {'in_len': 192, 'p': 7, 'd': 8, 'q': 5}Current value: 0.10084927249300683, Current params: {'in_len': 96, 'p': 4, 'd': 2, 'q': 5}
Best value: 0.10084927249300683, Best params: {'in_len': 96, 'p': 4, 'd': 2, 'q': 5}Current value: 496392885891.63306, Current params: {'in_len': 108, 'p': 5, 'd': 10, 'q': 10}
Best value: 0.10084927249300683, Best params: {'in_len': 96, 'p': 4, 'd': 2, 'q': 5}Current value: 2.769077147069245, Current params: {'in_len': 156, 'p': 6, 'd': 7, 'q': 8}
Best value: 0.10084927249300683, Best params: {'in_len': 96, 'p': 4, 'd': 2, 'q': 5}Current value: 552.1029830567173, Current params: {'in_len': 144, 'p': 6, 'd': 6, 'q': 5}
Best value: 0.10084927249300683, Best params: {'in_len': 96, 'p': 4, 'd': 2, 'q': 5}Current value: 0.08417529362088026, Current params: {'in_len': 192, 'p': 3, 'd': 1, 'q': 9}
Best value: 0.08417529362088026, Best params: {'in_len': 192, 'p': 3, 'd': 1, 'q': 9}Current value: 26.551809871416264, Current params: {'in_len': 204, 'p': 10, 'd': 9, 'q': 7}
Best value: 0.08417529362088026, Best params: {'in_len': 192, 'p': 3, 'd': 1, 'q': 9}Current value: 0.24811830738035567, Current params: {'in_len': 120, 'p': 10, 'd': 4, 'q': 9}
Best value: 0.08417529362088026, Best params: {'in_len': 192, 'p': 3, 'd': 1, 'q': 9}Current value: 0.0941796586609428, Current params: {'in_len': 180, 'p': 1, 'd': 1, 'q': 2}
Best value: 0.08417529362088026, Best params: {'in_len': 192, 'p': 3, 'd': 1, 'q': 9}Current value: 0.10236916335649289, Current params: {'in_len': 180, 'p': 1, 'd': 1, 'q': 1}
Best value: 0.08417529362088026, Best params: {'in_len': 192, 'p': 3, 'd': 1, 'q': 9}Current value: 0.19341726323992595, Current params: {'in_len': 168, 'p': 1, 'd': 3, 'q': 2}
Best value: 0.08417529362088026, Best params: {'in_len': 192, 'p': 3, 'd': 1, 'q': 9}Current value: 0.08122955531707066, Current params: {'in_len': 204, 'p': 3, 'd': 1, 'q': 3}
Best value: 0.08122955531707066, Best params: {'in_len': 204, 'p': 3, 'd': 1, 'q': 3}Current value: 0.2830193528517735, Current params: {'in_len': 204, 'p': 3, 'd': 4, 'q': 3}
Best value: 0.08122955531707066, Best params: {'in_len': 204, 'p': 3, 'd': 1, 'q': 3}Current value: 0.13824156533594564, Current params: {'in_len': 204, 'p': 3, 'd': 3, 'q': 10}
Best value: 0.08122955531707066, Best params: {'in_len': 204, 'p': 3, 'd': 1, 'q': 3}Current value: 0.07945562156538137, Current params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.257879474974938, Current params: {'in_len': 168, 'p': 4, 'd': 4, 'q': 7}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.11691106935921396, Current params: {'in_len': 180, 'p': 2, 'd': 2, 'q': 3}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.10684449664777346, Current params: {'in_len': 192, 'p': 4, 'd': 2, 'q': 7}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.45582357912800947, Current params: {'in_len': 132, 'p': 2, 'd': 5, 'q': 4}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.08388341748279575, Current params: {'in_len': 192, 'p': 3, 'd': 1, 'q': 8}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.08095473525960516, Current params: {'in_len': 168, 'p': 5, 'd': 1, 'q': 8}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.12973887595721176, Current params: {'in_len': 168, 'p': 5, 'd': 3, 'q': 6}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.101254007344174, Current params: {'in_len': 156, 'p': 5, 'd': 2, 'q': 8}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.08021201448817263, Current params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 9}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.1292474308424774, Current params: {'in_len': 168, 'p': 2, 'd': 3, 'q': 9}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.10388914404016543, Current params: {'in_len': 156, 'p': 4, 'd': 2, 'q': 8}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.462968260228599, Current params: {'in_len': 180, 'p': 2, 'd': 5, 'q': 10}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.08565819074103409, Current params: {'in_len': 192, 'p': 7, 'd': 1, 'q': 7}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.10453267249762473, Current params: {'in_len': 144, 'p': 7, 'd': 2, 'q': 9}
Best value: 0.07945562156538137, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 7}Current value: 0.07839273025597729, Current params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 6}
Best value: 0.07839273025597729, Best params: {'in_len': 180, 'p': 3, 'd': 1, 'q': 6}Current value: 0.07811257968918256, Current params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.10584991682433359, Current params: {'in_len': 180, 'p': 2, 'd': 2, 'q': 6}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.13145355148165228, Current params: {'in_len': 192, 'p': 1, 'd': 3, 'q': 6}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.07861117092665919, Current params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 5}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 14.358687537527423, Current params: {'in_len': 156, 'p': 3, 'd': 8, 'q': 4}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 2.6330441311468715, Current params: {'in_len': 168, 'p': 4, 'd': 7, 'q': 5}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.11284465221517588, Current params: {'in_len': 180, 'p': 1, 'd': 2, 'q': 5}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 82.94417143126917, Current params: {'in_len': 192, 'p': 9, 'd': 10, 'q': 6}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.0787900547283376, Current params: {'in_len': 132, 'p': 4, 'd': 1, 'q': 4}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.0787900547283376, Current params: {'in_len': 132, 'p': 4, 'd': 1, 'q': 4}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.10535451895530386, Current params: {'in_len': 120, 'p': 4, 'd': 2, 'q': 4}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.16096459487669648, Current params: {'in_len': 132, 'p': 6, 'd': 1, 'q': 5}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.0787900547283376, Current params: {'in_len': 132, 'p': 4, 'd': 1, 'q': 4}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.10139619850167343, Current params: {'in_len': 120, 'p': 2, 'd': 2, 'q': 5}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 4.675094034785625e+18, Current params: {'in_len': 108, 'p': 6, 'd': 1, 'q': 4}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.17155136474816204, Current params: {'in_len': 144, 'p': 3, 'd': 3, 'q': 3}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.08647778835428455, Current params: {'in_len': 132, 'p': 5, 'd': 1, 'q': 5}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 811196966.2773724, Current params: {'in_len': 144, 'p': 3, 'd': 2, 'q': 2}
Best value: 0.07811257968918256, Best params: {'in_len': 180, 'p': 2, 'd': 1, 'q': 6}Current value: 0.07777164861243681, Current params: {'in_len': 120, 'p': 1, 'd': 1, 'q': 6}
Best value: 0.07777164861243681, Best params: {'in_len': 120, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07713425249221954, Current params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07803942678497477, Current params: {'in_len': 96, 'p': 1, 'd': 1, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07803942678497477, Current params: {'in_len': 96, 'p': 1, 'd': 1, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.10592409957530098, Current params: {'in_len': 96, 'p': 1, 'd': 2, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07744817292818033, Current params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 1917505954.8317223, Current params: {'in_len': 96, 'p': 1, 'd': 9, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.2545772643558989, Current params: {'in_len': 108, 'p': 1, 'd': 4, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.12702592480507516, Current params: {'in_len': 96, 'p': 1, 'd': 3, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.10399246987070142, Current params: {'in_len': 108, 'p': 1, 'd': 2, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07713425249221954, Current params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07713425249221954, Current params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07713425249221954, Current params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.07744817292818033, Current params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.10399246987070142, Current params: {'in_len': 108, 'p': 1, 'd': 2, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.09526218953644332, Current params: {'in_len': 120, 'p': 2, 'd': 2, 'q': 7}
Best value: 0.07713425249221954, Best params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 6}Current value: 0.0784355315799487, Current params: {'in_len': 108, 'p': 1, 'd': 1, 'q': 8}
