--------------------------------
Loading column definition...
Checking column definition...
Loading data...
Dropping columns / rows...
Checking for NA values...
Setting data types...
Dropping columns / rows...
Encoding data...
	Updated column definition:
		id: REAL_VALUED (ID)
		time: DATE (TIME)
		gl: REAL_VALUED (TARGET)
		fast_insulin: REAL_VALUED (OBSERVED_INPUT)
		slow_insulin: REAL_VALUED (OBSERVED_INPUT)
		calories: REAL_VALUED (OBSERVED_INPUT)
		balance: REAL_VALUED (OBSERVED_INPUT)
		quality: REAL_VALUED (OBSERVED_INPUT)
		HR: REAL_VALUED (OBSERVED_INPUT)
		BR: REAL_VALUED (OBSERVED_INPUT)
		Posture: REAL_VALUED (OBSERVED_INPUT)
		Activity: REAL_VALUED (OBSERVED_INPUT)
		HRV: REAL_VALUED (OBSERVED_INPUT)
		CoreTemp: REAL_VALUED (OBSERVED_INPUT)
		time_year: REAL_VALUED (KNOWN_INPUT)
		time_month: REAL_VALUED (KNOWN_INPUT)
		time_day: REAL_VALUED (KNOWN_INPUT)
		time_hour: REAL_VALUED (KNOWN_INPUT)
		time_minute: REAL_VALUED (KNOWN_INPUT)
Interpolating data...
	Dropped segments: 1
	Extracted segments: 8
	Interpolated values: 0
	Percent of values interpolated: 0.00%
Splitting data...
	Train: 4654 (47.17%)
	Val: 2016 (20.43%)
	Test: 2057 (20.85%)
	Test OOD: 1140 (11.55%)
Scaling data...
	No scaling applied
Data formatting complete.
--------------------------------
Current value: 0.05686379596590996, Current params: {'in_len': 132, 'max_samples_per_ts': 100}
Best value: 0.05686379596590996, Best params: {'in_len': 132, 'max_samples_per_ts': 100}
Current value: 0.04897863790392876, Current params: {'in_len': 36, 'max_samples_per_ts': 200}
Best value: 0.04897863790392876, Best params: {'in_len': 36, 'max_samples_per_ts': 200}
Current value: 0.05105014145374298, Current params: {'in_len': 60, 'max_samples_per_ts': 150}
Best value: 0.04897863790392876, Best params: {'in_len': 36, 'max_samples_per_ts': 200}
Current value: 0.04903969168663025, Current params: {'in_len': 144, 'max_samples_per_ts': 50}
Best value: 0.04897863790392876, Best params: {'in_len': 36, 'max_samples_per_ts': 200}
Current value: 0.049570679664611816, Current params: {'in_len': 84, 'max_samples_per_ts': 50}
Best value: 0.04897863790392876, Best params: {'in_len': 36, 'max_samples_per_ts': 200}
Current value: 0.047637928277254105, Current params: {'in_len': 24, 'max_samples_per_ts': 200}
Best value: 0.047637928277254105, Best params: {'in_len': 24, 'max_samples_per_ts': 200}
Current value: 0.05686379596590996, Current params: {'in_len': 132, 'max_samples_per_ts': 100}
Best value: 0.047637928277254105, Best params: {'in_len': 24, 'max_samples_per_ts': 200}
Current value: 0.052660007029771805, Current params: {'in_len': 60, 'max_samples_per_ts': 100}
Best value: 0.047637928277254105, Best params: {'in_len': 24, 'max_samples_per_ts': 200}
Current value: 0.04972641542553902, Current params: {'in_len': 72, 'max_samples_per_ts': 200}
Best value: 0.047637928277254105, Best params: {'in_len': 24, 'max_samples_per_ts': 200}
