--------------------------------
Loading column definition...
Checking column definition...
Loading data...
Dropping columns / rows...
Checking for NA values...
Setting data types...
Dropping columns / rows...
Encoding data...
	Updated column definition:
		id: REAL_VALUED (ID)
		time: DATE (TIME)
		gl: REAL_VALUED (TARGET)
		Height: REAL_VALUED (STATIC_INPUT)
		Weight: REAL_VALUED (STATIC_INPUT)
		Gender: REAL_VALUED (STATIC_INPUT)
		Race: REAL_VALUED (STATIC_INPUT)
		EduLevel: REAL_VALUED (STATIC_INPUT)
		AnnualInc: REAL_VALUED (STATIC_INPUT)
		MaritalStatus: REAL_VALUED (STATIC_INPUT)
		DaysWkEx: REAL_VALUED (STATIC_INPUT)
		DaysWkDrinkAlc: REAL_VALUED (STATIC_INPUT)
		DaysMonBingeAlc: REAL_VALUED (STATIC_INPUT)
		T1DDiagAge: REAL_VALUED (STATIC_INPUT)
		NumHospDKA: REAL_VALUED (STATIC_INPUT)
		NumSHSinceT1DDiag: REAL_VALUED (STATIC_INPUT)
		InsDeliveryMethod: REAL_VALUED (STATIC_INPUT)
		UnitsInsTotal: REAL_VALUED (STATIC_INPUT)
		NumMeterCheckDay: REAL_VALUED (STATIC_INPUT)
		Aspirin: REAL_VALUED (STATIC_INPUT)
		Simvastatin: REAL_VALUED (STATIC_INPUT)
		Lisinopril: REAL_VALUED (STATIC_INPUT)
		Vitamin D: REAL_VALUED (STATIC_INPUT)
		Multivitamin preparation: REAL_VALUED (STATIC_INPUT)
		Omeprazole: REAL_VALUED (STATIC_INPUT)
		atorvastatin: REAL_VALUED (STATIC_INPUT)
		Synthroid: REAL_VALUED (STATIC_INPUT)
		vitamin D3: REAL_VALUED (STATIC_INPUT)
		Hypertension: REAL_VALUED (STATIC_INPUT)
		Hyperlipidemia: REAL_VALUED (STATIC_INPUT)
		Hypothyroidism: REAL_VALUED (STATIC_INPUT)
		Depression: REAL_VALUED (STATIC_INPUT)
		Coronary artery disease: REAL_VALUED (STATIC_INPUT)
		Diabetic peripheral neuropathy: REAL_VALUED (STATIC_INPUT)
		Dyslipidemia: REAL_VALUED (STATIC_INPUT)
		Chronic kidney disease: REAL_VALUED (STATIC_INPUT)
		Osteoporosis: REAL_VALUED (STATIC_INPUT)
		Proliferative diabetic retinopathy: REAL_VALUED (STATIC_INPUT)
		Hypercholesterolemia: REAL_VALUED (STATIC_INPUT)
		Erectile dysfunction: REAL_VALUED (STATIC_INPUT)
		Type I diabetes mellitus: REAL_VALUED (STATIC_INPUT)
		time_year: REAL_VALUED (KNOWN_INPUT)
		time_month: REAL_VALUED (KNOWN_INPUT)
		time_day: REAL_VALUED (KNOWN_INPUT)
		time_hour: REAL_VALUED (KNOWN_INPUT)
		time_minute: REAL_VALUED (KNOWN_INPUT)
Interpolating data...
	Dropped segments: 1416
	Extracted segments: 681
	Interpolated values: 140564
	Percent of values interpolated: 24.24%
Splitting data...
	Train: 357814 (68.58%)
	Val: 96960 (18.58%)
	Test: 125008 (23.96%)
Scaling data...
	No scaling applied
Data formatting complete.
--------------------------------
Current value: 0.09474323689937592, Current params: {'in_len': 180, 'max_samples_per_ts': 150, 'hidden_size': 80, 'num_attention_heads': 3, 'dropout': 0.22869834840044573, 'lr': 0.0003965761934934222, 'batch_size': 48, 'max_grad_norm': 0.49510422682222904}
Best value: 0.09474323689937592, Best params: {'in_len': 180, 'max_samples_per_ts': 150, 'hidden_size': 80, 'num_attention_heads': 3, 'dropout': 0.22869834840044573, 'lr': 0.0003965761934934222, 'batch_size': 48, 'max_grad_norm': 0.49510422682222904}
Current value: 0.08801671862602234, Current params: {'in_len': 180, 'max_samples_per_ts': 50, 'hidden_size': 48, 'num_attention_heads': 3, 'dropout': 0.1540959423204858, 'lr': 0.004506789334668041, 'batch_size': 32, 'max_grad_norm': 0.5248505158679704}
Best value: 0.08801671862602234, Best params: {'in_len': 180, 'max_samples_per_ts': 50, 'hidden_size': 48, 'num_attention_heads': 3, 'dropout': 0.1540959423204858, 'lr': 0.004506789334668041, 'batch_size': 32, 'max_grad_norm': 0.5248505158679704}
Current value: 0.10275181382894516, Current params: {'in_len': 180, 'max_samples_per_ts': 200, 'hidden_size': 144, 'num_attention_heads': 2, 'dropout': 0.10678587815280127, 'lr': 0.009524038981658654, 'batch_size': 32, 'max_grad_norm': 0.7377520660603355}
Best value: 0.08801671862602234, Best params: {'in_len': 180, 'max_samples_per_ts': 50, 'hidden_size': 48, 'num_attention_heads': 3, 'dropout': 0.1540959423204858, 'lr': 0.004506789334668041, 'batch_size': 32, 'max_grad_norm': 0.5248505158679704}
Current value: 0.09100145101547241, Current params: {'in_len': 144, 'max_samples_per_ts': 150, 'hidden_size': 208, 'num_attention_heads': 1, 'dropout': 0.2668922473608931, 'lr': 0.008390793030900966, 'batch_size': 64, 'max_grad_norm': 0.1236168715185916}
Best value: 0.08801671862602234, Best params: {'in_len': 180, 'max_samples_per_ts': 50, 'hidden_size': 48, 'num_attention_heads': 3, 'dropout': 0.1540959423204858, 'lr': 0.004506789334668041, 'batch_size': 32, 'max_grad_norm': 0.5248505158679704}
Current value: 0.08783876895904541, Current params: {'in_len': 144, 'max_samples_per_ts': 200, 'hidden_size': 16, 'num_attention_heads': 2, 'dropout': 0.21982871186596353, 'lr': 0.005424839041416716, 'batch_size': 48, 'max_grad_norm': 0.9730429066069279}
Best value: 0.08783876895904541, Best params: {'in_len': 144, 'max_samples_per_ts': 200, 'hidden_size': 16, 'num_attention_heads': 2, 'dropout': 0.21982871186596353, 'lr': 0.005424839041416716, 'batch_size': 48, 'max_grad_norm': 0.9730429066069279}
Current value: 0.08874011039733887, Current params: {'in_len': 192, 'max_samples_per_ts': 200, 'hidden_size': 48, 'num_attention_heads': 2, 'dropout': 0.16566179842901974, 'lr': 0.0013732530569643122, 'batch_size': 32, 'max_grad_norm': 0.3798847873061824}
Best value: 0.08783876895904541, Best params: {'in_len': 144, 'max_samples_per_ts': 200, 'hidden_size': 16, 'num_attention_heads': 2, 'dropout': 0.21982871186596353, 'lr': 0.005424839041416716, 'batch_size': 48, 'max_grad_norm': 0.9730429066069279}
Current value: 0.09055887162685394, Current params: {'in_len': 132, 'max_samples_per_ts': 50, 'hidden_size': 112, 'num_attention_heads': 3, 'dropout': 0.23729539052561813, 'lr': 0.003836132732292066, 'batch_size': 32, 'max_grad_norm': 0.6789495438478501}
Best value: 0.08783876895904541, Best params: {'in_len': 144, 'max_samples_per_ts': 200, 'hidden_size': 16, 'num_attention_heads': 2, 'dropout': 0.21982871186596353, 'lr': 0.005424839041416716, 'batch_size': 48, 'max_grad_norm': 0.9730429066069279}
Current value: 0.30399829149246216, Current params: {'in_len': 108, 'max_samples_per_ts': 150, 'hidden_size': 176, 'num_attention_heads': 2, 'dropout': 0.17306707251383288, 'lr': 0.006206794309649241, 'batch_size': 48, 'max_grad_norm': 0.5592346779568934}
Best value: 0.08783876895904541, Best params: {'in_len': 144, 'max_samples_per_ts': 200, 'hidden_size': 16, 'num_attention_heads': 2, 'dropout': 0.21982871186596353, 'lr': 0.005424839041416716, 'batch_size': 48, 'max_grad_norm': 0.9730429066069279}
Current value: 0.0793653354048729, Current params: {'in_len': 96, 'max_samples_per_ts': 200, 'hidden_size': 96, 'num_attention_heads': 1, 'dropout': 0.25305944938410385, 'lr': 0.0012085771132017077, 'batch_size': 32, 'max_grad_norm': 0.7315689984828031}
Best value: 0.0793653354048729, Best params: {'in_len': 96, 'max_samples_per_ts': 200, 'hidden_size': 96, 'num_attention_heads': 1, 'dropout': 0.25305944938410385, 'lr': 0.0012085771132017077, 'batch_size': 32, 'max_grad_norm': 0.7315689984828031}
Current value: 0.304718941450119, Current params: {'in_len': 120, 'max_samples_per_ts': 100, 'hidden_size': 224, 'num_attention_heads': 2, 'dropout': 0.2504329571526954, 'lr': 0.0009733518247976271, 'batch_size': 32, 'max_grad_norm': 0.3890448492324838}
Best value: 0.0793653354048729, Best params: {'in_len': 96, 'max_samples_per_ts': 200, 'hidden_size': 96, 'num_attention_heads': 1, 'dropout': 0.25305944938410385, 'lr': 0.0012085771132017077, 'batch_size': 32, 'max_grad_norm': 0.7315689984828031}
Current value: 0.2994464635848999, Current params: {'in_len': 96, 'max_samples_per_ts': 100, 'hidden_size': 128, 'num_attention_heads': 4, 'dropout': 0.29577563659526673, 'lr': 0.002649475608462103, 'batch_size': 64, 'max_grad_norm': 0.9908938663703903}
Best value: 0.0793653354048729, Best params: {'in_len': 96, 'max_samples_per_ts': 200, 'hidden_size': 96, 'num_attention_heads': 1, 'dropout': 0.25305944938410385, 'lr': 0.0012085771132017077, 'batch_size': 32, 'max_grad_norm': 0.7315689984828031}
Current value: 0.29833847284317017, Current params: {'in_len': 156, 'max_samples_per_ts': 200, 'hidden_size': 16, 'num_attention_heads': 1, 'dropout': 0.20552610006042146, 'lr': 0.006416610594376341, 'batch_size': 48, 'max_grad_norm': 0.9671675400096977}
