Optimization started at 2023-02-25 01:31:31.312572--------------------------------
Loading column definition...
Checking column definition...
Loading data...
Dropping columns / rows...
Checking for NA values...
Setting data types...
Dropping columns / rows...
Encoding data...
	Updated column definition:
		id: REAL_VALUED (ID)
		time: DATE (TIME)
		gl: REAL_VALUED (TARGET)
		time_year: REAL_VALUED (KNOWN_INPUT)
		time_month: REAL_VALUED (KNOWN_INPUT)
		time_day: REAL_VALUED (KNOWN_INPUT)
		time_hour: REAL_VALUED (KNOWN_INPUT)
		time_minute: REAL_VALUED (KNOWN_INPUT)
Interpolating data...
	Dropped segments: 63
	Extracted segments: 205
	Interpolated values: 241
	Percent of values interpolated: 0.22%
Splitting data...
	Train: 37857 (38.80%)
	Val: 31296 (32.08%)
	Test: 39658 (40.65%)
Scaling data...
	No scaling applied
Data formatting complete.
--------------------------------
Current value: 0.0295226089656353, Current params: {'in_len': 108, 'max_samples_per_ts': 200, 'd_model': 96, 'n_heads': 4, 'num_encoder_layers': 1, 'num_decoder_layers': 2, 'dim_feedforward': 352, 'dropout': 0.06972729779440827, 'lr': 0.00010954881450734098, 'batch_size': 32, 'lr_epochs': 10, 'max_grad_norm': 0.5305704447969886}
Best value: 0.0295226089656353, Best params: {'in_len': 108, 'max_samples_per_ts': 200, 'd_model': 96, 'n_heads': 4, 'num_encoder_layers': 1, 'num_decoder_layers': 2, 'dim_feedforward': 352, 'dropout': 0.06972729779440827, 'lr': 0.00010954881450734098, 'batch_size': 32, 'lr_epochs': 10, 'max_grad_norm': 0.5305704447969886}
Current value: 0.02783111296594143, Current params: {'in_len': 120, 'max_samples_per_ts': 150, 'd_model': 32, 'n_heads': 2, 'num_encoder_layers': 2, 'num_decoder_layers': 4, 'dim_feedforward': 224, 'dropout': 0.1678029720652269, 'lr': 0.00068000357611497, 'batch_size': 48, 'lr_epochs': 14, 'max_grad_norm': 0.23315642998012615}
Best value: 0.02783111296594143, Best params: {'in_len': 120, 'max_samples_per_ts': 150, 'd_model': 32, 'n_heads': 2, 'num_encoder_layers': 2, 'num_decoder_layers': 4, 'dim_feedforward': 224, 'dropout': 0.1678029720652269, 'lr': 0.00068000357611497, 'batch_size': 48, 'lr_epochs': 14, 'max_grad_norm': 0.23315642998012615}
Current value: 0.022680586203932762, Current params: {'in_len': 144, 'max_samples_per_ts': 200, 'd_model': 96, 'n_heads': 2, 'num_encoder_layers': 1, 'num_decoder_layers': 1, 'dim_feedforward': 96, 'dropout': 0.14312847621909403, 'lr': 0.00040478175741239246, 'batch_size': 32, 'lr_epochs': 8, 'max_grad_norm': 0.3006983282197255}
Best value: 0.022680586203932762, Best params: {'in_len': 144, 'max_samples_per_ts': 200, 'd_model': 96, 'n_heads': 2, 'num_encoder_layers': 1, 'num_decoder_layers': 1, 'dim_feedforward': 96, 'dropout': 0.14312847621909403, 'lr': 0.00040478175741239246, 'batch_size': 32, 'lr_epochs': 8, 'max_grad_norm': 0.3006983282197255}
Current value: 0.025798089802265167, Current params: {'in_len': 108, 'max_samples_per_ts': 150, 'd_model': 96, 'n_heads': 2, 'num_encoder_layers': 2, 'num_decoder_layers': 2, 'dim_feedforward': 384, 'dropout': 0.1310283884964878, 'lr': 0.0007974347412763076, 'batch_size': 48, 'lr_epochs': 14, 'max_grad_norm': 0.47906273543369793}
Best value: 0.022680586203932762, Best params: {'in_len': 144, 'max_samples_per_ts': 200, 'd_model': 96, 'n_heads': 2, 'num_encoder_layers': 1, 'num_decoder_layers': 1, 'dim_feedforward': 96, 'dropout': 0.14312847621909403, 'lr': 0.00040478175741239246, 'batch_size': 32, 'lr_epochs': 8, 'max_grad_norm': 0.3006983282197255}
Current value: 0.02379801869392395, Current params: {'in_len': 108, 'max_samples_per_ts': 200, 'd_model': 96, 'n_heads': 2, 'num_encoder_layers': 3, 'num_decoder_layers': 2, 'dim_feedforward': 352, 'dropout': 0.12301892869355009, 'lr': 0.0004869361165317092, 'batch_size': 32, 'lr_epochs': 6, 'max_grad_norm': 0.8885827807293228}
Best value: 0.022680586203932762, Best params: {'in_len': 144, 'max_samples_per_ts': 200, 'd_model': 96, 'n_heads': 2, 'num_encoder_layers': 1, 'num_decoder_layers': 1, 'dim_feedforward': 96, 'dropout': 0.14312847621909403, 'lr': 0.00040478175741239246, 'batch_size': 32, 'lr_epochs': 8, 'max_grad_norm': 0.3006983282197255}
Current value: 0.0010956906480714679, Current params: {'in_len': 108, 'max_samples_per_ts': 200, 'd_model': 32, 'n_heads': 2, 'num_encoder_layers': 4, 'num_decoder_layers': 1, 'dim_feedforward': 224, 'dropout': 0.03192155065954488, 'lr': 0.00032270042451839015, 'batch_size': 48, 'lr_epochs': 10, 'max_grad_norm': 0.9136130823076385}
